YEAR,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Education
2017,CT,Connecticut,Cessation,Quit Attempt,,,,,,,Overall,High School
2017,CT,Connecticut,Cessation,Quit Attempt,,,,,,,Male,High School
2017,CT,Connecticut,Cessation,Quit Attempt,,,,,,,Female,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Current,3.5,0.6,2.4,4.6,2213.0,Overall,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Ever,14.8,1.0,12.8,16.8,2185.0,Overall,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Frequent,0.6,0.2,0.2,1.0,2213.0,Overall,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Current,4.2,0.8,2.6,5.8,1066.0,Male,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Ever,16.1,1.9,12.4,19.8,1048.0,Male,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Frequent,0.7,0.3,0.1,1.3,1066.0,Male,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Current,2.7,0.6,1.5,3.9,1120.0,Female,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Ever,13.2,1.0,11.2,15.2,1110.0,Female,High School
2017,CT,Connecticut,Cigarette Use,Smoking Status,Frequent,0.4,0.3,0.0,0.9,1120.0,Female,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Current,1.6,0.4,0.8,2.4,2198.0,Overall,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Ever,4.1,0.9,2.4,5.8,2203.0,Overall,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Frequent,0.4,0.2,0.0,0.8,2198.0,Overall,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Current,2.4,0.8,0.9,3.9,1058.0,Male,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Ever,6.7,1.6,3.6,9.8,1057.0,Male,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Frequent,0.9,0.5,0.0,1.8,1058.0,Male,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Current,0.3,0.2,0.0,0.7,1112.0,Female,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Ever,0.8,0.4,0.0,1.6,1117.0,Female,High School
2017,CT,Connecticut,Smokeless Tobacco Use,User Status,Frequent,0.0,0.0,0.0,0.0,1112.0,Female,High School
2017,GA,Georgia,Cessation,Quit Attempt,,63.6,5.8,52.3,74.9,177.0,Overall,High School
