YEAR,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Education
2017,AZ,Arizona,Cessation,Want to Quit,,,,,,,Overall,Middle School
2017,AZ,Arizona,Cessation,Want to Quit,,,,,,,Male,Middle School
2017,AZ,Arizona,Cessation,Want to Quit,,,,,,,Female,Middle School
2017,AZ,Arizona,Cessation,Quit Attempt,,,,,,,Overall,Middle School
2017,AZ,Arizona,Cessation,Quit Attempt,,,,,,,Male,Middle School
2017,AZ,Arizona,Cessation,Quit Attempt,,,,,,,Female,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Current,2.4,0.5,1.4,3.4,1346.0,Overall,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Ever,12.7,2.0,8.7,16.7,1248.0,Overall,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Frequent,0.3,0.2,0.0,0.7,1346.0,Overall,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Current,2.9,0.7,1.5,4.3,679.0,Male,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Ever,14.9,2.3,10.3,19.5,620.0,Male,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Frequent,0.4,0.4,0.0,1.1,679.0,Male,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Current,1.9,0.6,0.8,3.0,659.0,Female,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Ever,10.7,2.0,6.7,14.7,620.0,Female,Middle School
2017,AZ,Arizona,Cigarette Use,Smoking Status,Frequent,0.2,0.2,0.0,0.6,659.0,Female,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Current,1.5,0.6,0.4,2.6,1335.0,Overall,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Ever,5.1,0.8,3.6,6.6,1340.0,Overall,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Frequent,0.4,0.3,0.0,0.9,1335.0,Overall,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Current,1.8,0.8,0.2,3.4,666.0,Male,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Ever,5.8,1.2,3.5,8.1,670.0,Male,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Frequent,0.6,0.5,0.0,1.5,666.0,Male,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Current,1.3,0.6,0.1,2.5,662.0,Female,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Ever,4.4,1.4,1.6,7.2,663.0,Female,Middle School
2017,AZ,Arizona,Smokeless Tobacco Use,User Status,Frequent,0.2,0.1,0.0,0.4,662.0,Female,Middle School
2017,HI,Hawaii,Cessation,Want to Quit,,61.3,8.5,44.6,78.0,50.0,Overall,Middle School
2017,HI,Hawaii,Cessation,Want to Quit,,,,,,,Male,Middle School
2017,HI,Hawaii,Cessation,Want to Quit,,,,,,,Female,Middle School
2017,HI,Hawaii,Cessation,Quit Attempt,,,,,,,Overall,Middle School
2017,HI,Hawaii,Cessation,Quit Attempt,,,,,,,Male,Middle School
2017,HI,Hawaii,Cessation,Quit Attempt,,,,,,,Female,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Current,3.1,0.6,1.9,4.3,1951.0,Overall,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Ever,11.0,0.9,9.3,12.7,1892.0,Overall,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Frequent,0.5,0.2,0.2,0.8,1951.0,Overall,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Current,3.3,0.6,2.1,4.5,1001.0,Male,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Ever,9.9,1.1,7.8,12.0,967.0,Male,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Frequent,0.9,0.3,0.3,1.5,1001.0,Male,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Current,3.0,0.8,1.5,4.5,941.0,Female,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Ever,12.2,1.3,9.6,14.8,919.0,Female,Middle School
2017,HI,Hawaii,Cigarette Use,Smoking Status,Frequent,0.1,0.1,0.0,0.3,941.0,Female,Middle School
2017,HI,Hawaii,Smokeless Tobacco Use,User Status,Current,1.4,0.5,0.5,2.3,1939.0,Overall,Middle School
2017,HI,Hawaii,Smokeless Tobacco Use,User Status,Frequent,0.1,0.1,0.0,0.2,1939.0,Overall,Middle School
2017,HI,Hawaii,Smokeless Tobacco Use,User Status,Current,1.0,0.4,0.3,1.7,993.0,Male,Middle School
2017,HI,Hawaii,Smokeless Tobacco Use,User Status,Frequent,0.2,0.1,0.0,0.4,993.0,Male,Middle School
2017,HI,Hawaii,Smokeless Tobacco Use,User Status,Current,1.8,0.7,0.4,3.2,935.0,Female,Middle School
2017,HI,Hawaii,Smokeless Tobacco Use,User Status,Frequent,0.1,0.1,0.0,0.3,935.0,Female,Middle School
2017,LA,Louisiana,Cessation,Want to Quit,,,,,,,Overall,Middle School
2017,LA,Louisiana,Cessation,Want to Quit,,,,,,,Male,Middle School
2017,LA,Louisiana,Cessation,Want to Quit,,,,,,,Female,Middle School
2017,LA,Louisiana,Cessation,Quit Attempt,,,,,,,Overall,Middle School
2017,LA,Louisiana,Cessation,Quit Attempt,,,,,,,Male,Middle School
2017,LA,Louisiana,Cessation,Quit Attempt,,,,,,,Female,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Current,3.8,0.7,2.4,5.2,1588.0,Overall,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Ever,16.0,1.1,13.8,18.2,1525.0,Overall,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Frequent,1.0,0.4,0.2,1.8,1588.0,Overall,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Current,5.4,1.5,2.5,8.3,689.0,Male,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Ever,17.7,1.8,14.2,21.2,649.0,Male,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Frequent,1.8,0.8,0.2,3.4,689.0,Male,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Current,2.1,0.4,1.3,2.9,894.0,Female,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Ever,14.3,1.3,11.7,16.9,873.0,Female,Middle School
2017,LA,Louisiana,Cigarette Use,Smoking Status,Frequent,0.2,0.1,0.0,0.4,894.0,Female,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Current,5.1,1.7,1.8,8.4,1582.0,Overall,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Ever,11.4,1.2,9.1,13.7,1607.0,Overall,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Frequent,1.1,0.4,0.4,1.8,1582.0,Overall,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Current,8.7,3.8,1.3,16.1,682.0,Male,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Ever,16.6,3.0,10.8,22.4,694.0,Male,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Frequent,2.0,0.7,0.6,3.4,682.0,Male,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Current,1.5,0.5,0.5,2.5,895.0,Female,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Ever,6.2,1.3,3.6,8.8,908.0,Female,Middle School
2017,LA,Louisiana,Smokeless Tobacco Use,User Status,Frequent,0.3,0.2,0.0,0.6,895.0,Female,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Current,1.9,0.5,1.0,2.8,1838.0,Overall,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Ever,9.7,1.4,6.9,12.5,1816.0,Overall,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Frequent,0.2,0.2,0.0,0.5,1838.0,Overall,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Current,1.8,0.5,0.9,2.7,898.0,Male,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Ever,10.4,1.5,7.4,13.4,883.0,Male,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Frequent,0.3,0.2,0.0,0.7,898.0,Male,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Current,1.8,0.5,0.8,2.8,924.0,Female,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Ever,8.7,1.6,5.5,11.9,918.0,Female,Middle School
2017,MN,Minnesota,Cigarette Use,Smoking Status,Frequent,0.1,0.1,0.0,0.3,924.0,Female,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Current,0.9,0.3,0.3,1.5,1843.0,Overall,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Ever,3.4,0.6,2.3,4.5,1836.0,Overall,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Frequent,0.1,0.1,0.0,0.2,1843.0,Overall,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Current,1.5,0.5,0.5,2.5,903.0,Male,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Ever,5.3,0.9,3.5,7.1,896.0,Male,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Frequent,0.1,0.1,0.0,0.3,903.0,Male,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Current,0.3,0.2,0.0,0.6,923.0,Female,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Ever,1.6,0.4,0.9,2.3,923.0,Female,Middle School
2017,MN,Minnesota,Smokeless Tobacco Use,User Status,Frequent,0.0,0.0,0.0,0.0,923.0,Female,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Current,1.5,0.4,0.8,2.2,1667.0,Overall,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Ever,12.7,1.4,10.0,15.4,1598.0,Overall,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Frequent,0.3,0.2,0.0,0.6,1667.0,Overall,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Current,1.8,0.5,0.8,2.8,876.0,Male,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Ever,14.0,1.7,10.6,17.4,842.0,Male,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Frequent,0.5,0.3,0.0,1.0,876.0,Male,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Current,1.1,0.3,0.5,1.7,780.0,Female,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Ever,11.3,1.5,8.3,14.3,749.0,Female,Middle School
2017,MS,Mississippi,Cigarette Use,Smoking Status,Frequent,0.2,0.1,0.0,0.4,780.0,Female,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Current,3.0,0.9,1.3,4.7,1669.0,Overall,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Ever,8.4,1.3,5.9,10.9,1640.0,Overall,Middle School
2016,IN,Indiana,Smokeless Tobacco Use,User Status,Ever,,,0.0,,,Female,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Frequent,0.8,0.4,0.1,1.5,1669.0,Overall,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Current,4.6,1.4,1.9,7.3,872.0,Male,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Ever,11.4,1.5,8.5,14.3,857.0,Male,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Frequent,1.3,0.7,0.0,2.6,872.0,Male,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Current,1.5,0.5,0.6,2.4,786.0,Female,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Ever,5.2,1.3,2.7,7.7,774.0,Female,Middle School
2017,MS,Mississippi,Smokeless Tobacco Use,User Status,Frequent,0.3,0.2,0.0,0.7,786.0,Female,Middle School
2017,MO,Missouri,Cessation,Want to Quit,,,,,,,Overall,Middle School
2017,MO,Missouri,Cessation,Want to Quit,,,,,,,Male,Middle School
2017,MO,Missouri,Cessation,Want to Quit,,,,,,,Female,Middle School
2017,MO,Missouri,Cessation,Quit Attempt,,49.6,7.1,35.7,63.5,51.0,Overall,Middle School
2017,MO,Missouri,Cessation,Quit Attempt,,,,,,,Male,Middle School
2017,MO,Missouri,Cessation,Quit Attempt,,,,,,,Female,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Current,3.5,0.8,1.9,5.1,1799.0,Overall,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Ever,10.3,1.5,7.4,13.2,1802.0,Overall,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Frequent,0.5,0.3,0.0,1.1,1799.0,Overall,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Current,3.3,0.8,1.7,4.9,874.0,Male,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Ever,12.0,1.8,8.4,15.6,874.0,Male,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Frequent,0.4,0.2,0.0,0.8,874.0,Male,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Current,3.7,1.1,1.5,5.9,914.0,Female,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Ever,8.5,1.6,5.4,11.6,916.0,Female,Middle School
2017,MO,Missouri,Cigarette Use,Smoking Status,Frequent,0.6,0.5,0.0,1.6,914.0,Female,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Current,2.4,0.6,1.2,3.6,1795.0,Overall,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Ever,5.4,0.9,3.6,7.2,1794.0,Overall,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Frequent,0.4,0.2,0.0,0.8,1795.0,Overall,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Current,3.9,1.1,1.7,6.1,870.0,Male,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Ever,8.5,1.8,4.9,12.1,869.0,Male,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Frequent,0.7,0.3,0.1,1.3,870.0,Male,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Current,0.8,0.4,0.1,1.5,913.0,Female,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Ever,2.1,0.4,1.3,2.9,913.0,Female,Middle School
2017,MO,Missouri,Smokeless Tobacco Use,User Status,Frequent,0.2,0.2,0.0,0.6,913.0,Female,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Current,2.5,0.4,1.7,3.3,3127.0,Overall,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Ever,10.4,0.8,8.8,12.0,3122.0,Overall,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Frequent,0.4,0.1,0.2,0.6,3127.0,Overall,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Current,2.8,0.7,1.4,4.2,1528.0,Male,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Ever,11.8,1.1,9.6,14.0,1524.0,Male,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Frequent,0.3,0.2,0.0,0.6,1528.0,Male,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Current,2.2,0.5,1.3,3.1,1596.0,Female,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Ever,9.0,0.9,7.2,10.8,1594.0,Female,Middle School
2017,NC,North Carolina,Cigarette Use,Smoking Status,Frequent,0.4,0.2,0.0,0.8,1596.0,Female,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Current,2.3,0.4,1.5,3.1,3155.0,Overall,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Ever,6.5,0.7,5.2,7.8,3146.0,Overall,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Frequent,0.4,0.2,0.1,0.7,3155.0,Overall,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Current,3.1,0.7,1.8,4.4,1542.0,Male,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Ever,8.4,0.9,6.6,10.2,1537.0,Male,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Frequent,0.7,0.3,0.2,1.2,1542.0,Male,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Current,1.4,0.4,0.7,2.1,1610.0,Female,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Ever,4.6,1.1,2.4,6.8,1606.0,Female,Middle School
2017,NC,North Carolina,Smokeless Tobacco Use,User Status,Frequent,0.2,0.1,0.0,0.4,1610.0,Female,Middle School
2017,ND,North Dakota,Cessation,Want to Quit,,,,,,,Overall,Middle School
2017,ND,North Dakota,Cessation,Want to Quit,,,,,,,Male,Middle School
2017,ND,North Dakota,Cessation,Want to Quit,,,,,,,Female,Middle School
2017,ND,North Dakota,Cessation,Quit Attempt,,,,,,,Overall,Middle School
2017,ND,North Dakota,Cessation,Quit Attempt,,,,,,,Male,Middle School
2017,ND,North Dakota,Cessation,Quit Attempt,,,,,,,Female,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Current,2.4,0.6,1.3,3.5,2233.0,Overall,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Ever,10.9,1.4,8.2,13.6,2178.0,Overall,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Frequent,0.2,0.1,0.0,0.4,2233.0,Overall,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Current,2.0,0.4,1.2,2.8,1118.0,Male,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Ever,9.9,1.4,7.1,12.7,1079.0,Male,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Frequent,0.3,0.2,0.0,0.6,1118.0,Male,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Current,2.7,0.9,1.0,4.4,1107.0,Female,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Ever,11.9,1.7,8.6,15.2,1095.0,Female,Middle School
2017,ND,North Dakota,Cigarette Use,Smoking Status,Frequent,0.1,0.1,0.0,0.3,1107.0,Female,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Current,2.2,0.6,1.1,3.3,2267.0,Overall,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Ever,6.1,1.2,3.8,8.4,2264.0,Overall,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Frequent,0.3,0.1,0.1,0.5,2267.0,Overall,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Current,2.6,0.7,1.2,4.0,1137.0,Male,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Ever,8.0,1.6,4.8,11.2,1134.0,Male,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Frequent,0.4,0.2,0.1,0.7,1137.0,Male,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Current,1.8,0.6,0.7,2.9,1122.0,Female,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Ever,4.1,0.9,2.4,5.8,1122.0,Female,Middle School
2017,ND,North Dakota,Smokeless Tobacco Use,User Status,Frequent,0.2,0.1,0.0,0.4,1122.0,Female,Middle School
2017,OH,Ohio,Cessation,Want to Quit,,,,,,,Overall,Middle School
2017,OH,Ohio,Cessation,Want to Quit,,,,,,,Male,Middle School
2017,OH,Ohio,Cessation,Want to Quit,,,,,,,Female,Middle School
2017,OH,Ohio,Cessation,Quit Attempt,,,,,,,Overall,Middle School
2017,OH,Ohio,Cessation,Quit Attempt,,,,,,,Male,Middle School
2017,OH,Ohio,Cessation,Quit Attempt,,,,,,,Female,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Current,1.0,0.4,0.2,1.8,1223.0,Overall,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Ever,8.1,1.6,5.0,11.2,1195.0,Overall,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Frequent,0.1,0.1,0.0,0.3,1223.0,Overall,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Current,1.3,0.6,0.2,2.4,614.0,Male,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Ever,9.3,1.7,5.9,12.7,599.0,Male,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Frequent,0.2,0.2,0.0,0.5,614.0,Male,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Current,0.6,0.3,0.0,1.2,604.0,Female,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Ever,6.8,1.6,3.6,10.0,591.0,Female,Middle School
2017,OH,Ohio,Cigarette Use,Smoking Status,Frequent,0.0,0.0,0.0,0.0,604.0,Female,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Current,1.1,0.5,0.2,2.0,1208.0,Overall,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Ever,3.1,0.8,1.6,4.6,1202.0,Overall,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Frequent,0.1,0.1,0.0,0.2,1208.0,Overall,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Current,1.7,0.8,0.1,3.3,606.0,Male,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Ever,3.7,1.2,1.4,6.0,604.0,Male,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Frequent,0.1,0.2,0.0,0.4,606.0,Male,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Current,0.4,0.3,0.0,1.0,596.0,Female,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Ever,2.6,0.7,1.3,3.9,593.0,Female,Middle School
2017,OH,Ohio,Smokeless Tobacco Use,User Status,Frequent,0.0,0.0,0.0,0.0,596.0,Female,Middle School
2017,SC,South Carolina,Cessation,Want to Quit,,,,,,,Overall,Middle School
2017,SC,South Carolina,Cessation,Want to Quit,,,,,,,Male,Middle School
2017,SC,South Carolina,Cessation,Want to Quit,,,,,,,Female,Middle School
2017,SC,South Carolina,Cessation,Quit Attempt,,,,,,,Overall,Middle School
2017,SC,South Carolina,Cessation,Quit Attempt,,,,,,,Male,Middle School
2017,SC,South Carolina,Cessation,Quit Attempt,,,,,,,Female,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Current,3.2,0.7,1.8,4.6,1352.0,Overall,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Ever,15.7,2.2,11.4,20.0,1287.0,Overall,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Frequent,0.6,0.3,0.1,1.1,1352.0,Overall,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Current,3.0,0.9,1.2,4.8,670.0,Male,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Ever,15.0,2.4,10.3,19.7,624.0,Male,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Frequent,0.8,0.4,0.0,1.6,670.0,Male,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Current,3.3,1.1,1.2,5.4,677.0,Female,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Ever,16.2,2.8,10.7,21.7,657.0,Female,Middle School
2017,SC,South Carolina,Cigarette Use,Smoking Status,Frequent,0.4,0.3,0.0,1.0,677.0,Female,Middle School
2017,SC,South Carolina,Smokeless Tobacco Use,User Status,Current,2.5,0.5,1.5,3.5,1359.0,Overall,Middle School
2017,SC,South Carolina,Smokeless Tobacco Use,User Status,Ever,9.2,1.4,6.5,11.9,1358.0,Overall,Middle School
