"Gender","LocationDesc","MeasureDesc","min_year","LocationAbbr","min_value","max_year","max_value","diff","Response","hover"
"Female","Alabama","Quit Attempt",2000,"AL",63,2016,52.8,-16.19,NA,"Alabama <br> Year Range 2000 - 2016 <br> Value Change 63 to 52.8"
"Female","Alabama","Want to Quit",2000,"AL",63.9,2016,37.8,-40.85,NA,"Alabama <br> Year Range 2000 - 2016 <br> Value Change 63.9 to 37.8"
"Female","Arizona","Quit Attempt",2003,"AZ",43.3,2007,44.6,3,NA,"Arizona <br> Year Range 2003 - 2007 <br> Value Change 43.3 to 44.6"
"Female","Arizona","Want to Quit",2003,"AZ",45.8,2007,48,4.8,NA,"Arizona <br> Year Range 2003 - 2007 <br> Value Change 45.8 to 48"
"Female","Arkansas","Quit Attempt",2000,"AR",66,2007,55.3,-16.21,NA,"Arkansas <br> Year Range 2000 - 2007 <br> Value Change 66 to 55.3"
"Female","Arkansas","Want to Quit",2000,"AR",53.8,2010,51.8,-3.72,NA,"Arkansas <br> Year Range 2000 - 2010 <br> Value Change 53.8 to 51.8"
"Female","Connecticut","Quit Attempt",2000,"CT",57,2015,50.2,-11.93,NA,"Connecticut <br> Year Range 2000 - 2015 <br> Value Change 57 to 50.2"
"Female","Connecticut","Want to Quit",2000,"CT",53,2013,44.6,-15.85,NA,"Connecticut <br> Year Range 2000 - 2013 <br> Value Change 53 to 44.6"
"Female","Delaware","Quit Attempt",2000,"DE",64.3,2004,56.9,-11.51,NA,"Delaware <br> Year Range 2000 - 2004 <br> Value Change 64.3 to 56.9"
"Female","Delaware","Want to Quit",2000,"DE",64.8,2014,51.6,-20.37,NA,"Delaware <br> Year Range 2000 - 2014 <br> Value Change 64.8 to 51.6"
"Female","Georgia","Quit Attempt",2001,"GA",57.7,2017,54.7,-5.2,NA,"Georgia <br> Year Range 2001 - 2017 <br> Value Change 57.7 to 54.7"
"Female","Georgia","Want to Quit",2005,"GA",47.3,2013,51.2,8.25,NA,"Georgia <br> Year Range 2005 - 2013 <br> Value Change 47.3 to 51.2"
"Female","Hawaii","Quit Attempt",2000,"HI",75.3,2005,74.6,-0.93,NA,"Hawaii <br> Year Range 2000 - 2005 <br> Value Change 75.3 to 74.6"
"Female","Hawaii","Want to Quit",2000,"HI",72.3,2009,62.3,-13.83,NA,"Hawaii <br> Year Range 2000 - 2009 <br> Value Change 72.3 to 62.3"
"Female","Illinois","Quit Attempt",2002,"IL",60.9,2015,56.9,-6.57,NA,"Illinois <br> Year Range 2002 - 2015 <br> Value Change 60.9 to 56.9"
"Female","Illinois","Want to Quit",2002,"IL",58.3,2015,48.1,-17.5,NA,"Illinois <br> Year Range 2002 - 2015 <br> Value Change 58.3 to 48.1"
"Female","Indiana","Quit Attempt",2000,"IN",58.7,2013,64.9,10.56,NA,"Indiana <br> Year Range 2000 - 2013 <br> Value Change 58.7 to 64.9"
"Female","Indiana","Want to Quit",2000,"IN",57.6,2013,47.7,-17.19,NA,"Indiana <br> Year Range 2000 - 2013 <br> Value Change 57.6 to 47.7"
"Female","Iowa","Quit Attempt",2000,"IA",59.5,2006,55,-7.56,NA,"Iowa <br> Year Range 2000 - 2006 <br> Value Change 59.5 to 55"
"Female","Iowa","Want to Quit",2000,"IA",52,2009,54.5,4.81,NA,"Iowa <br> Year Range 2000 - 2009 <br> Value Change 52 to 54.5"
"Female","Kansas","Quit Attempt",2000,"KS",61.1,2009,31,-49.26,NA,"Kansas <br> Year Range 2000 - 2009 <br> Value Change 61.1 to 31"
"Female","Kansas","Want to Quit",2000,"KS",59.2,2009,52.6,-11.15,NA,"Kansas <br> Year Range 2000 - 2009 <br> Value Change 59.2 to 52.6"
"Female","Kentucky","Quit Attempt",2000,"KY",63.9,2010,53.5,-16.28,NA,"Kentucky <br> Year Range 2000 - 2010 <br> Value Change 63.9 to 53.5"
"Female","Kentucky","Want to Quit",2000,"KY",63.2,2010,48.3,-23.58,NA,"Kentucky <br> Year Range 2000 - 2010 <br> Value Change 63.2 to 48.3"
"Female","Louisiana","Quit Attempt",2008,"LA",45.8,2017,61.3,33.84,NA,"Louisiana <br> Year Range 2008 - 2017 <br> Value Change 45.8 to 61.3"
"Female","Louisiana","Want to Quit",2008,"LA",41.5,2017,71.8,73.01,NA,"Louisiana <br> Year Range 2008 - 2017 <br> Value Change 41.5 to 71.8"
"Female","Minnesota","Quit Attempt",2000,"MN",64.5,2014,59,-8.53,NA,"Minnesota <br> Year Range 2000 - 2014 <br> Value Change 64.5 to 59"
"Female","Minnesota","Want to Quit",2000,"MN",63.9,2014,46.6,-27.07,NA,"Minnesota <br> Year Range 2000 - 2014 <br> Value Change 63.9 to 46.6"
"Female","Mississippi","Quit Attempt",1999,"MS",60.4,2015,63,4.3,NA,"Mississippi <br> Year Range 1999 - 2015 <br> Value Change 60.4 to 63"
"Female","Mississippi","Want to Quit",2000,"MS",55.6,2015,41,-26.26,NA,"Mississippi <br> Year Range 2000 - 2015 <br> Value Change 55.6 to 41"
"Female","Missouri","Quit Attempt",2003,"MO",64.9,2007,54.3,-16.33,NA,"Missouri <br> Year Range 2003 - 2007 <br> Value Change 64.9 to 54.3"
"Female","Missouri","Want to Quit",2003,"MO",58.5,2011,49.8,-14.87,NA,"Missouri <br> Year Range 2003 - 2011 <br> Value Change 58.5 to 49.8"
"Female","Nebraska","Quit Attempt",2000,"NE",56,2017,60.6,8.21,NA,"Nebraska <br> Year Range 2000 - 2017 <br> Value Change 56 to 60.6"
"Female","Nebraska","Want to Quit",2000,"NE",57.7,2017,47.3,-18.02,NA,"Nebraska <br> Year Range 2000 - 2017 <br> Value Change 57.7 to 47.3"
"Female","New Hampshire","Quit Attempt",2001,"NH",63,2011,53,-15.87,NA,"New Hampshire <br> Year Range 2001 - 2011 <br> Value Change 63 to 53"
"Female","New Hampshire","Want to Quit",2001,"NH",63.2,2011,42.8,-32.28,NA,"New Hampshire <br> Year Range 2001 - 2011 <br> Value Change 63.2 to 42.8"
"Female","New Jersey","Quit Attempt",1999,"NJ",49.5,2017,48.7,-1.62,NA,"New Jersey <br> Year Range 1999 - 2017 <br> Value Change 49.5 to 48.7"
"Female","New Jersey","Want to Quit",1999,"NJ",56.4,2015,44.6,-20.92,NA,"New Jersey <br> Year Range 1999 - 2015 <br> Value Change 56.4 to 44.6"
"Female","North Carolina","Quit Attempt",1999,"NC",51.9,2015,67,29.09,NA,"North Carolina <br> Year Range 1999 - 2015 <br> Value Change 51.9 to 67"
"Female","North Carolina","Want to Quit",1999,"NC",52.7,2015,55,4.36,NA,"North Carolina <br> Year Range 1999 - 2015 <br> Value Change 52.7 to 55"
"Female","North Dakota","Quit Attempt",2003,"ND",60.4,2017,52.7,-12.75,NA,"North Dakota <br> Year Range 2003 - 2017 <br> Value Change 60.4 to 52.7"
"Female","North Dakota","Want to Quit",2003,"ND",61.3,2017,40.8,-33.44,NA,"North Dakota <br> Year Range 2003 - 2017 <br> Value Change 61.3 to 40.8"
"Female","Ohio","Quit Attempt",2000,"OH",73,2002,66.6,-8.77,NA,"Ohio <br> Year Range 2000 - 2002 <br> Value Change 73 to 66.6"
"Female","Ohio","Want to Quit",2000,"OH",66.5,2008,58.1,-12.63,NA,"Ohio <br> Year Range 2000 - 2008 <br> Value Change 66.5 to 58.1"
"Female","Oklahoma","Quit Attempt",1999,"OK",57.3,2005,57.6,0.52,NA,"Oklahoma <br> Year Range 1999 - 2005 <br> Value Change 57.3 to 57.6"
"Female","Oklahoma","Want to Quit",1999,"OK",60.8,2011,36.1,-40.62,NA,"Oklahoma <br> Year Range 1999 - 2011 <br> Value Change 60.8 to 36.1"
"Female","Pennsylvania","Quit Attempt",2001,"PA",60.1,2015,57.5,-4.33,NA,"Pennsylvania <br> Year Range 2001 - 2015 <br> Value Change 60.1 to 57.5"
