"Gender","LocationDesc","MeasureDesc","min_year","LocationAbbr","min_value","max_year","max_value","diff","Response","hover"
"Female","Alabama","Quit Attempt",2000,"AL",55.5,2014,71.9,29.55,NA,"Alabama <br> Year Range 2000 - 2014 <br> Value Change 55.5 to 71.9"
"Female","Alabama","Want to Quit",2000,"AL",52.7,2014,43,-18.41,NA,"Alabama <br> Year Range 2000 - 2014 <br> Value Change 52.7 to 43"
"Female","Arizona","Quit Attempt",2000,"AZ",54.2,2011,41,-24.35,NA,"Arizona <br> Year Range 2000 - 2011 <br> Value Change 54.2 to 41"
"Female","Arizona","Want to Quit",2000,"AZ",56.3,2011,35.6,-36.77,NA,"Arizona <br> Year Range 2000 - 2011 <br> Value Change 56.3 to 35.6"
"Female","Arkansas","Quit Attempt",2000,"AR",59.9,2007,65.4,9.18,NA,"Arkansas <br> Year Range 2000 - 2007 <br> Value Change 59.9 to 65.4"
"Female","Arkansas","Want to Quit",2000,"AR",62.5,2010,36.8,-41.12,NA,"Arkansas <br> Year Range 2000 - 2010 <br> Value Change 62.5 to 36.8"
"Female","Connecticut","Quit Attempt",2000,"CT",52.5,2002,56.5,7.62,NA,"Connecticut <br> Year Range 2000 - 2002 <br> Value Change 52.5 to 56.5"
"Female","Connecticut","Want to Quit",2000,"CT",55.4,2002,51.1,-7.76,NA,"Connecticut <br> Year Range 2000 - 2002 <br> Value Change 55.4 to 51.1"
"Female","Delaware","Quit Attempt",2000,"DE",63.2,2004,51.1,-19.15,NA,"Delaware <br> Year Range 2000 - 2004 <br> Value Change 63.2 to 51.1"
"Female","Delaware","Want to Quit",2000,"DE",66.3,2010,48.9,-26.24,NA,"Delaware <br> Year Range 2000 - 2010 <br> Value Change 66.3 to 48.9"
"Female","Georgia","Quit Attempt",1999,"GA",56.3,2005,52.4,-6.93,NA,"Georgia <br> Year Range 1999 - 2005 <br> Value Change 56.3 to 52.4"
"Female","Georgia","Want to Quit",1999,"GA",59.2,2005,46.7,-21.11,NA,"Georgia <br> Year Range 1999 - 2005 <br> Value Change 59.2 to 46.7"
"Female","Hawaii","Quit Attempt",2003,"HI",69.3,2003,69.3,0,NA,"Hawaii <br> Year Range 2003 - 2003 <br> Value Change 69.3 to 69.3"
"Female","Hawaii","Want to Quit",2003,"HI",68.6,2003,68.6,0,NA,"Hawaii <br> Year Range 2003 - 2003 <br> Value Change 68.6 to 68.6"
"Female","Illinois","Quit Attempt",2002,"IL",42.1,2005,46.5,10.45,NA,"Illinois <br> Year Range 2002 - 2005 <br> Value Change 42.1 to 46.5"
"Female","Illinois","Want to Quit",2002,"IL",42.9,2002,42.9,0,NA,"Illinois <br> Year Range 2002 - 2002 <br> Value Change 42.9 to 42.9"
"Female","Indiana","Quit Attempt",2000,"IN",55.1,2013,67.6,22.69,NA,"Indiana <br> Year Range 2000 - 2013 <br> Value Change 55.1 to 67.6"
"Female","Indiana","Want to Quit",2000,"IN",54.7,2013,36.4,-33.46,NA,"Indiana <br> Year Range 2000 - 2013 <br> Value Change 54.7 to 36.4"
"Female","Iowa","Quit Attempt",2000,"IA",58.2,2000,58.2,0,NA,"Iowa <br> Year Range 2000 - 2000 <br> Value Change 58.2 to 58.2"
"Female","Iowa","Want to Quit",2000,"IA",46.6,2002,68.4,46.78,NA,"Iowa <br> Year Range 2000 - 2002 <br> Value Change 46.6 to 68.4"
"Female","Kansas","Quit Attempt",1999,"KS",53.6,2000,45.8,-14.55,NA,"Kansas <br> Year Range 1999 - 2000 <br> Value Change 53.6 to 45.8"
"Female","Kansas","Want to Quit",1999,"KS",43.3,2000,34.7,-19.86,NA,"Kansas <br> Year Range 1999 - 2000 <br> Value Change 43.3 to 34.7"
"Female","Kentucky","Quit Attempt",2000,"KY",61.5,2010,56.3,-8.46,NA,"Kentucky <br> Year Range 2000 - 2010 <br> Value Change 61.5 to 56.3"
"Female","Kentucky","Want to Quit",2000,"KY",60.9,2010,45.3,-25.62,NA,"Kentucky <br> Year Range 2000 - 2010 <br> Value Change 60.9 to 45.3"
"Female","Louisiana","Quit Attempt",2001,"LA",54.3,2009,58.4,7.55,NA,"Louisiana <br> Year Range 2001 - 2009 <br> Value Change 54.3 to 58.4"
"Female","Louisiana","Want to Quit",2001,"LA",56.8,2009,53.2,-6.34,NA,"Louisiana <br> Year Range 2001 - 2009 <br> Value Change 56.8 to 53.2"
"Female","Minnesota","Quit Attempt",2000,"MN",67.3,2002,61.6,-8.47,NA,"Minnesota <br> Year Range 2000 - 2002 <br> Value Change 67.3 to 61.6"
"Female","Minnesota","Want to Quit",2000,"MN",59.3,2002,61.3,3.37,NA,"Minnesota <br> Year Range 2000 - 2002 <br> Value Change 59.3 to 61.3"
"Female","Mississippi","Quit Attempt",2000,"MS",62.4,2008,71,13.78,NA,"Mississippi <br> Year Range 2000 - 2008 <br> Value Change 62.4 to 71"
"Female","Mississippi","Want to Quit",2000,"MS",60.9,2006,37.6,-38.26,NA,"Mississippi <br> Year Range 2000 - 2006 <br> Value Change 60.9 to 37.6"
"Female","Missouri","Quit Attempt",1999,"MO",61.3,2007,51.5,-15.99,NA,"Missouri <br> Year Range 1999 - 2007 <br> Value Change 61.3 to 51.5"
"Female","Missouri","Want to Quit",2005,"MO",50.6,2007,43.3,-14.43,NA,"Missouri <br> Year Range 2005 - 2007 <br> Value Change 50.6 to 43.3"
"Female","Nebraska","Quit Attempt",1999,"NE",57.3,2006,57.4,0.17,NA,"Nebraska <br> Year Range 1999 - 2006 <br> Value Change 57.3 to 57.4"
"Female","Nebraska","Want to Quit",1999,"NE",57.3,2002,61.7,7.68,NA,"Nebraska <br> Year Range 1999 - 2002 <br> Value Change 57.3 to 61.7"
"Female","New Hampshire","Quit Attempt",2000,"NH",54.1,2000,54.1,0,NA,"New Hampshire <br> Year Range 2000 - 2000 <br> Value Change 54.1 to 54.1"
"Female","New Hampshire","Want to Quit",2000,"NH",40.5,2000,40.5,0,NA,"New Hampshire <br> Year Range 2000 - 2000 <br> Value Change 40.5 to 40.5"
"Female","New Jersey","Quit Attempt",1999,"NJ",49.6,2001,51.9,4.64,NA,"New Jersey <br> Year Range 1999 - 2001 <br> Value Change 49.6 to 51.9"
"Female","New Jersey","Want to Quit",1999,"NJ",49.3,2006,59.6,20.89,NA,"New Jersey <br> Year Range 1999 - 2006 <br> Value Change 49.3 to 59.6"
"Female","North Carolina","Quit Attempt",1999,"NC",59.6,2013,66,10.74,NA,"North Carolina <br> Year Range 1999 - 2013 <br> Value Change 59.6 to 66"
"Female","North Carolina","Want to Quit",1999,"NC",54.2,2009,52.6,-2.95,NA,"North Carolina <br> Year Range 1999 - 2009 <br> Value Change 54.2 to 52.6"
"Female","North Dakota","Quit Attempt",2003,"ND",60.1,2011,48.5,-19.3,NA,"North Dakota <br> Year Range 2003 - 2011 <br> Value Change 60.1 to 48.5"
"Female","North Dakota","Want to Quit",2003,"ND",40.1,2011,51.1,27.43,NA,"North Dakota <br> Year Range 2003 - 2011 <br> Value Change 40.1 to 51.1"
"Female","Ohio","Quit Attempt",2000,"OH",57.1,2004,59.2,3.68,NA,"Ohio <br> Year Range 2000 - 2004 <br> Value Change 57.1 to 59.2"
"Female","Ohio","Want to Quit",2000,"OH",53.2,2004,48.6,-8.65,NA,"Ohio <br> Year Range 2000 - 2004 <br> Value Change 53.2 to 48.6"
"Female","Oklahoma","Quit Attempt",1999,"OK",63.2,2016,79,25,NA,"Oklahoma <br> Year Range 1999 - 2016 <br> Value Change 63.2 to 79"
"Female","Oklahoma","Want to Quit",1999,"OK",57.9,2016,44.6,-22.97,NA,"Oklahoma <br> Year Range 1999 - 2016 <br> Value Change 57.9 to 44.6"
